Date,Average temperature [K]
2016-06-03_06,292.9057
2016-06-03_12,289.9087
2016-06-03_18,289.18054
2016-06-04_00,285.41675
2016-06-04_06,287.56763
2016-06-04_12,284.3947
2016-06-04_18,286.04868
2016-06-05_00,287.235
2016-06-05_06,288.5221
2016-06-05_12,284.16296
2016-06-05_18,285.04187
2016-06-06_00,285.54987
2016-06-06_06,288.62933
2016-06-06_12,286.71567
2016-06-06_18,288.26556
2016-06-07_00,286.8109
2016-06-07_06,287.08435
2016-06-07_12,286.5257
2016-06-07_18,285.82074
2016-06-08_00,286.5099
2016-06-08_06,286.89374
2016-06-08_12,285.18198
2016-06-08_18,286.63843
2016-06-09_00,288.08688
2016-06-09_06,289.00696
2016-06-09_12,286.40082
2016-06-09_18,285.58478
2016-06-10_00,285.65997
2016-06-10_06,286.49026
2016-06-10_12,285.18134
2016-06-10_18,287.08282
2016-06-11_00,288.1988
2016-06-11_06,289.4776
2016-06-11_12,286.8928
2016-06-11_18,288.8335
2016-06-12_00,288.71466
2016-06-12_06,290.32263
2016-06-12_12,287.22488
2016-06-12_18,287.9104
2016-06-13_00,287.22656
2016-06-13_06,286.43585
2016-06-13_12,287.78973
2016-06-13_18,287.78333
2016-06-14_00,288.33398
2016-06-14_06,288.57358
2016-06-14_12,288.13098
2016-06-14_18,287.63058
2016-06-15_00,287.69846
2016-06-15_06,289.063
2016-06-15_12,286.5637
2016-06-15_18,286.02084
2016-06-16_00,286.599
2016-06-16_06,287.0302
2016-06-16_12,284.32874
2016-06-16_18,284.55933
2016-06-17_00,284.5142
2016-06-17_06,286.59137
2016-06-17_12,284.846
2016-06-17_18,282.7243
2016-06-18_00,285.78372
2016-06-18_06,287.14716
2016-06-18_12,285.84985
2016-06-18_18,286.9108
2016-06-19_00,288.01123
2016-06-19_06,290.2483
2016-06-19_12,288.5603
2016-06-19_18,287.52185
2016-06-20_00,286.5423
2016-06-20_06,285.69083
2016-06-20_12,284.97586
2016-06-20_18,283.4802
2016-06-21_00,284.40912
2016-06-21_06,288.1709
2016-06-21_12,285.30347
2016-06-21_18,285.67822
2016-06-22_00,287.12646
2016-06-22_06,287.94794
2016-06-22_12,284.73096
2016-06-22_18,283.90723
2016-06-23_00,284.24805
2016-06-23_06,286.2638
2016-06-23_12,283.04315
2016-06-23_18,281.89923
2016-06-24_00,284.57904
2016-06-24_06,287.38623
2016-06-24_12,285.8075
2016-06-24_18,286.9203
2016-06-25_00,285.65808
2016-06-25_06,287.53775
2016-06-25_12,282.99463
2016-06-25_18,284.10956
2016-06-26_00,286.63065
2016-06-26_06,287.72708
2016-06-26_12,285.29114
2016-06-26_18,285.38477
2016-06-27_00,287.19507
2016-06-27_06,288.94177
2016-06-27_12,285.86447
2016-06-27_18,285.88205
2016-06-28_00,286.88132
2016-06-28_06,289.15097
2016-06-28_12,287.37915
2016-06-28_18,285.6624
2016-06-29_00,285.604
2016-06-29_06,287.90903
2016-06-29_12,285.17615
2016-06-29_18,285.20892
2016-06-30_00,286.5572
2016-06-30_06,288.93677
2016-06-30_12,285.60208
2016-06-30_18,285.24005
2016-07-01_00,287.4779
2016-07-01_06,289.64725
2016-07-01_12,286.46713
